Departamento,EjeX,EjeY
Lima,285,609
Callao,15,864
Lambayeque,143,347
Piura,120,305
Loreto,421,266
Ancash,240,485
La Libertad,225,451
Ucayali,505,568
Arequipa,517,854
Ica,355,740
Junin,390,627
Tumbes,80,225
san Martin,317,356
Cusco,488,662
Cajamarca,200,397
Huanuco,320,533
Ayacucho,438,788
Amazonas,233,321
Huancavelica,390,705
Tacna,627,920
Puno,630,750
Pasco,345,565
Moquegua,600,896
Madre de Dios,610,660
Apurimac,497,760
Total,225,695
