Departamento,EjeX,EjeY
Lima,308,609
Callao,50,864
Lambayeque,153,345
Piura,129,309
Loreto,421,266
Ancash,266,523
La Libertad,225,451
Ucayali,505,568
Arequipa,537,854
Ica,367,731
Junin,420,627
Tumbes,117,225
san Martin,317,356
Cusco,507,662
Cajamarca,216,400
Huanuco,341,492
Ayacucho,444,778
Amazonas,243,321
Huancavelica,401,721
Tacna,636,917
Puno,653,736
Pasco,351,565
Moquegua,604,899
Madre de Dios,599,660
Apurimac,504,760
